NoPays Pays  popul  CO2  TPES  electr  import  export  fuel  nuclear  hydro  geoth  zone  clim 
1 Australie  19,75 342,85  112,71  187,2  0  0  169,2  0  18  0  pacasi  aride
2 Autriche  8,05  66,14  30,44  63,8  19  13,4  22,4  0  31,9  3,9  europ  temp
3 Belgique  10,33 112,55  56,89  87,3  15  8,2  34,3  44,8  1,3  0,1  europ  temp
4 Canada  31,41 531,86  250,03  555  30,5  36,4  158  70,3  332,6  0  ameri  arct
5 Tchequie  10,21 114,96  41,72  60,4  10,1  26,3  50,5  24,4  1,8  0  europ  temp
6 Danemark  5,38  51,17  19,75  35,2  7  15,6  38,2  0  0  5,6  europ  temp
7 Finlande  5,2  63,5  35,62  84,7  11,9  7  48,6  21,8  9,3  0,1  europ  arct
8 France  61,23 377,07  265,88  471,8  6,2  72,2  55  420,7  62,1  0  europ  temp
9 Allemagne  82,48 837,53  346,35  529,9  45,4  54,1  361,4  156,5  20,7  0  europ  temp
10 Grece  10,95  90,46  29,02  56,4  4,2  2,1  47,9  0  5,3  1,1  europ  medi
11 Hongrie  10,16  55,45  25,45  40  14,1  7,1  21,9  11  0,2  0  europ  temp
12 Islande  0,29  2,22  3,4  8,4  0  0  0  0  7  1,3  europ  temp
13 Irlande  3,91  42,45  15,3  21,7  1,1  0  20  0  0,5  0  europ  temp
14 Italie  58,03 433,24  172,72  329,2  51,4  0,4  228,8  0  44,1  5,3  europ  medi
15 Japon  127,4 1206,9  516,93  1034  0  0  698  228,2  104,4  3,3  pacasi  medi
16 Coree  47,64 451,55  203,5  322,2  0  0  185,7  129,6  6,8  0  pacasi  temp
17 Luxembourg  0,45  9,28  4,04  7,5  6,2  2,9  3,3  0  0,8  0  europ  temp
18 Mexique  100,4 365,15  157,31  160  0,1  1,2  125,6  10  19,5  6  ameri  aride
19 Pays-Bas  16,15 177,88  77,92  106,1  20,8  3,8  84,2  3,6  0,1  1,2  europ  temp
20 Nouv-Zelande  3,98  34  8,01  35,4  0  0  10,6  0  22,8  2  pacasi  temp
21 Norvge  4,54  33,06  26,52  114,1  13,4  5,5  0,9  0  105,1  0,1  europ  arct
22 Pologne  38,22  282,9  89,19  127,4  5  14,9  133,8  0  3,3  0,1  europ  temp
23 Portugal  10,37  62,98  26,39  39,1  5,9  3,1  22,4  0  14  0  europ  marit
24 Slovaquie  5,38  37,89  18,55  26,2  4,2  7,2  8,9  17  3,3  0  europ  temp
25 Espagne  40,55 303,41  131,56  231,8  9,5  8,2  124  59,3  47,3  0  europ  temp
26 Suede  8,93  50,12  51,03  145,3  24,3  11,5  13,5  65,5  53  0,6  europ  arct
27 Suisse  7,29  42,83  27,14  62,1  42,4  45,5  2,9  25,9  36,4  0  europ  temp
28 Turquie  69,67 193,05  75,42  133,2  1,1  0,6  37,7  0  34,8  0,1  pacasi  temp
29 Royaume-Uni  59,21 529,27  226,51  367,9  5,8  3,2  277,6  81,9  5,9  0  europ  temp
30 Etats-Unis  287,5 5652,3  2290,4  3852  30,3  24,8  2724  766,5  266,6  89  ameri  temp
